task_id,communication_round,time,algo,dataset,use_contrastive,avg_params,avg_params_stderr,avg_params_std
1,0,41,modular,kmnist,True,0.007105142266872022,6.079089992527746e-05,0.00034388526057277185
1,0,41,modular,mnist,True,0.0067674389501916656,5.994076787358955e-05,0.0003390761874635514
1,0,41,monolithic,fashionmnist,True,0.02169894996898484,0.0007290276903455642,0.00412400338812892
1,0,41,monolithic,kmnist,True,0.023085283700701,0.00037791631766865815,0.0021378175275564614
1,0,41,monolithic,mnist,True,0.022470472501091875,0.0006128584843388422,0.0034668511214696394
1,10,51,modular,fashionmnist,True,0.006232067748637053,0.00028485531063041807,0.0016113849744301524
1,10,51,modular,kmnist,True,0.0029503465131190845,9.125986741392201e-05,0.0005162437687885559
1,10,51,modular,mnist,True,0.0023892938004012,4.365725609447152e-05,0.00024696273465918834
1,10,51,monolithic,fashionmnist,True,0.0036602259185980627,0.00012181547268531519,0.0006890923743138482
1,10,51,monolithic,kmnist,True,0.0037318150005895344,8.217076624420283e-05,0.00046482804821256385
1,10,51,monolithic,mnist,True,0.0035838860201562596,0.00012562663987036778,0.0007106515916001389
1,20,61,modular,fashionmnist,True,0.0053442440169289215,0.00019337786733081766,0.0010939104105681097
1,20,61,modular,kmnist,True,0.002729381326129659,8.234867045150594e-05,0.000465834426383649
1,20,61,modular,mnist,True,0.002324069995016228,3.139743719658499e-05,0.00017761072602867192
1,20,61,monolithic,fashionmnist,True,0.0032764103851669374,9.967306437256478e-05,0.0005638359977558707
1,20,61,monolithic,kmnist,True,0.003408179713525334,7.74299075526308e-05,0.0004380097015769017
1,20,61,monolithic,mnist,True,0.003266261271976703,0.00011483064734610125,0.0006495802354117539
1,30,71,modular,fashionmnist,True,0.004799734484549791,0.00015908338362451399,0.0008999115146799585
1,30,71,modular,kmnist,True,0.002674183544383672,7.763058586614848e-05,0.0004391449095475052
1,30,71,modular,mnist,True,0.002352758165995594,3.13439038612766e-05,0.00017730789575334314
1,30,71,monolithic,fashionmnist,True,0.0030240656487876124,8.654054691540631e-05,0.0004895472605718109
1,30,71,monolithic,kmnist,True,0.0032064496863962342,6.657057769505701e-05,0.000376580055325446
1,30,71,monolithic,mnist,True,0.0030932440543632437,0.00010285991813790656,0.0005818635650208551
1,40,81,modular,fashionmnist,True,0.0044241426521693435,0.00013360153737048016,0.0007557644244129158
1,40,81,modular,kmnist,True,0.0026911697428398562,7.607099117999764e-05,0.00043032250971966705
1,40,81,modular,mnist,True,0.002422393046020075,2.798573489747148e-05,0.00015831122337992877
1,40,81,monolithic,fashionmnist,True,0.002864257024676944,8.118811224209994e-05,0.00045926931774498744
1,40,81,monolithic,kmnist,True,0.0031555818558704407,5.797859038271983e-05,0.0003279764353860667
1,40,81,monolithic,mnist,True,0.0029776510503194595,9.62384471999024e-05,0.000544406869007316
2,0,82,modular,fashionmnist,True,0.00797835193848831,0.00021707754025038998,0.0012279760060347718
2,0,82,modular,kmnist,True,0.005078591442984972,9.314870058628173e-05,0.0005269286227462013
2,0,82,modular,mnist,True,0.004674076757510135,6.735952767248214e-05,0.00038104303035788024
2,0,82,monolithic,fashionmnist,True,0.01844309648913617,0.0005703843350803193,0.00322658104974299
2,0,82,monolithic,kmnist,True,0.021235695048224913,0.0005326628233870509,0.003013195956023648
2,0,82,monolithic,mnist,True,0.018590875898683235,0.0002600697054911003,0.0014711764186715627
2,10,92,modular,fashionmnist,True,0.007929818765790334,0.0001964961561347252,0.0011115501158396387
2,10,92,modular,kmnist,True,0.004324952409660856,8.838621436612204e-05,0.000499987932333542
2,10,92,modular,mnist,True,0.0038292467535418814,5.539340945926446e-05,0.0003133524436935116
2,10,92,monolithic,fashionmnist,True,0.004100915265813147,0.00011524665502890059,0.0006519335302400187
2,10,92,monolithic,kmnist,True,0.004666329348505525,7.063818834131147e-05,0.00039958993589499095
2,10,92,monolithic,mnist,True,0.004461265705426044,9.073323336650386e-05,0.0005132646767394912
2,20,102,modular,fashionmnist,True,0.006912335098344766,0.00016195869751938654,0.0009161767463047928
2,20,102,modular,kmnist,True,0.004275571056496069,7.081909179846281e-05,0.00040061328038532533
2,20,102,modular,mnist,True,0.0039044732168673876,5.1019918920307286e-05,0.000288612245153097
2,20,102,monolithic,fashionmnist,True,0.003778146850046475,0.00010521121113466122,0.0005951644868013484
2,20,102,monolithic,kmnist,True,0.0044394217492091095,6.75712411670485e-05,0.0003822406627392928
2,20,102,monolithic,mnist,True,0.004163718349315866,8.132387421462007e-05,0.0004600373034361574
2,30,112,modular,fashionmnist,True,0.006532433664428237,0.00019122731735246834,0.0010817450627843386
2,30,112,modular,kmnist,True,0.004369078691524872,8.511444682719204e-05,0.00048148002022759456
2,30,112,modular,mnist,True,0.004016984085215575,4.900499327807227e-05,0.00027721410447140865
2,30,112,monolithic,fashionmnist,True,0.0036465274463677467,0.00011084103890220167,0.0006270116019320697
2,30,112,monolithic,kmnist,True,0.004270365585528272,6.310674590613058e-05,0.00035698566375073063
2,30,112,monolithic,mnist,True,0.004072340352130159,8.378732570736614e-05,0.0004739726894813163
2,40,122,modular,fashionmnist,True,0.006248071932921916,0.0002196970908256591,0.0012427944218382431
2,40,122,modular,kmnist,True,0.00442073258766734,7.92582712352054e-05,0.0004483524884442914
2,40,122,modular,mnist,True,0.004089803644092122,4.6189032642973815e-05,0.0002612846255863487
2,40,122,monolithic,fashionmnist,True,0.003496856637411794,9.509837487862924e-05,0.0005379576460519933
2,40,122,monolithic,kmnist,True,0.004282881144068293,5.484334058586794e-05,0.000310240784249525
2,40,122,monolithic,mnist,True,0.003998577181846438,7.789362427510749e-05,0.0004406328794890047
3,0,123,modular,fashionmnist,True,0.009112570535112956,0.0003054468119189817,0.0017278680959977916
3,0,123,modular,kmnist,True,0.006843459613134738,9.796977176125939e-05,0.0005542007197094788
3,0,123,modular,mnist,True,0.006475302486381047,5.649125215748609e-05,0.0003195627798262208
3,0,123,monolithic,fashionmnist,True,0.015285713381932197,0.0005381376167171854,0.003044166063938312
3,0,123,monolithic,kmnist,True,0.020727738385176005,0.0002116331190293859,0.0011971777087147085
3,0,123,monolithic,mnist,True,0.018862946293146266,0.00025780785888103284,0.0014583814820637027
3,10,133,modular,fashionmnist,True,0.0060907849183422,0.00013757775066242672,0.0007782572834703518
3,10,133,modular,kmnist,True,0.003866120601742253,6.817003279529607e-05,0.0003856279397061055
3,10,133,modular,mnist,True,0.003505715450955853,3.465828286720682e-05,0.0001960568547174679
3,10,133,monolithic,fashionmnist,True,0.003582559229341397,0.00011843240753890996,0.0006699548678640963
3,10,133,monolithic,kmnist,True,0.004042968853744712,5.563222063461186e-05,0.00031470336370560177
3,10,133,monolithic,mnist,True,0.004118996587879163,9.103732829535876e-05,0.0005149848974300331
3,20,143,modular,fashionmnist,True,0.005654194485032293,0.00013171855592529597,0.0007451126728230102
3,20,143,modular,kmnist,True,0.0038087280481704094,6.674954559245465e-05,0.0003775924506363625
3,20,143,modular,mnist,True,0.0035627432563549626,3.4049859488863014e-05,0.0001926150923441932
3,20,143,monolithic,fashionmnist,True,0.003523993082126203,0.00010728288106904771,0.0006068836216732282
3,20,143,monolithic,kmnist,True,0.0038982201058387843,5.889802136104136e-05,0.0003331775224228998
3,20,143,monolithic,mnist,True,0.003915586490490647,8.60379036124534e-05,0.0004867038806675229
3,30,153,modular,fashionmnist,True,0.005418825216630803,0.0001285039547235963,0.0007269281423547522
